model,model_label,language_form,total,YES,PARTIAL,NO,UNKNOWN,comprehension_rate,non_comprehension_rate
google/gemma-3-4b-it,Gemma-3-4B,EN,28,28,0,0,0,1.0,0.0
google/gemma-3-4b-it,Gemma-3-4B,PS,28,9,12,6,1,0.3214,0.6429
google/gemma-3-4b-it,Gemma-3-4B,PS_EN_CS,28,24,2,1,1,0.8571,0.1071
google/gemma-3-4b-it,Gemma-3-4B,ROM_PS,28,13,7,8,0,0.4643,0.5357
google/gemma-3-4b-it,Gemma-3-4B,ROM_UR,28,24,4,0,0,0.8571,0.1429
google/gemma-3-4b-it,Gemma-3-4B,UR,28,27,0,0,1,0.9643,0.0
google/gemma-3-4b-it,Gemma-3-4B,UR_EN_CS,28,20,8,0,0,0.7143,0.2857
gpt-5.4,GPT-5.4,EN,28,28,0,0,0,1.0,0.0
gpt-5.4,GPT-5.4,PS,28,26,1,1,0,0.9286,0.0714
gpt-5.4,GPT-5.4,PS_EN_CS,28,27,1,0,0,0.9643,0.0357
gpt-5.4,GPT-5.4,ROM_PS,28,28,0,0,0,1.0,0.0
gpt-5.4,GPT-5.4,ROM_UR,28,28,0,0,0,1.0,0.0
gpt-5.4,GPT-5.4,UR,28,28,0,0,0,1.0,0.0
gpt-5.4,GPT-5.4,UR_EN_CS,28,28,0,0,0,1.0,0.0
qwen3.7-plus,Qwen3.7+,EN,28,23,0,0,5,0.8214,0.0
qwen3.7-plus,Qwen3.7+,PS,28,27,0,1,0,0.9643,0.0357
qwen3.7-plus,Qwen3.7+,PS_EN_CS,28,22,2,0,4,0.7857,0.0714
qwen3.7-plus,Qwen3.7+,ROM_PS,28,24,2,1,1,0.8571,0.1071
qwen3.7-plus,Qwen3.7+,ROM_UR,28,24,0,0,4,0.8571,0.0
qwen3.7-plus,Qwen3.7+,UR,28,27,0,0,1,0.9643,0.0
qwen3.7-plus,Qwen3.7+,UR_EN_CS,28,24,0,0,4,0.8571,0.0
